,months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,Contract Years,total_premiums_paid,net_value_of_customer,days_since_policy_binding,policy_bind_date_month,policy_bind_date_day,incident_date_month,incident_date_day,auto_make_encoded,auto_model_encoded,incident_city_encoded,incident_severity_encoded
13,121,34,626808,OH,100/300,1000,936.61,0,464652,FEMALE,MD,armed-forces,bungie-jumping,wife,52800,-32800,Parked Car,Unknown,Minor Damage,None,SC,Springfield,6582 Elm Lane,5,1,NO,1,1,NO,7280,1120,1120,5040,Toyota,Highlander,2010,N,10.083333333333334,9444.150833333333,2164.150833333333,804,10,26,1,8,12,18,6,1
14,180,38,644081,OH,250/500,2000,1301.13,0,476685,FEMALE,College,machine-op-inspct,board-games,not-in-family,41300,-55500,Single Vehicle Collision,Rear Collision,Total Loss,Police,SC,Springfield,6851 3rd Drive,12,1,NO,0,2,YES,46200,4200,8400,33600,Dodge,Neon,2003,Y,15.0,19516.95,-26683.05,5862,12,28,1,15,4,27,6,2
15,473,58,892874,IN,100/300,2000,1131.4,0,458733,FEMALE,MD,transport-moving,movies,other-relative,55700,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,WV,Hillsdale,9573 Weaver Ave,12,4,YES,0,0,NO,63120,10520,10520,42080,Accura,MDX,1999,Y,39.416666666666664,44596.01666666667,-18523.98333333333,8137,10,19,1,29,0,23,2,0
16,70,26,558938,OH,500/1000,1000,1199.44,5000000,619884,MALE,College,machine-op-inspct,hiking,own-child,63600,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,NY,Riverwood,5074 3rd St,0,3,Unknown,1,2,YES,52110,5790,5790,40530,Nissan,Maxima,2012,N,5.833333333333333,6996.733333333334,-45113.26666666666,3546,6,8,2,22,9,26,5,0
17,140,31,275265,IN,500/1000,500,708.64,6000000,470610,MALE,High School,machine-op-inspct,reading,unmarried,53500,0,Single Vehicle Collision,Side Collision,Total Loss,Police,WV,Northbend,4546 Tree St,9,1,NO,0,2,YES,77880,14160,7080,56640,Suburu,Legacy,2015,N,11.666666666666666,8267.466666666667,-69612.53333333333,3704,11,15,1,6,11,21,3,2
18,160,37,921202,OH,500/1000,500,1374.22,0,472135,FEMALE,MD,craft-repair,yachting,other-relative,45500,-37800,Single Vehicle Collision,Side Collision,Total Loss,Other,NY,Northbrook,3842 Solo Ridge,19,1,YES,1,0,NO,72930,6630,13260,53040,Accura,TL,2015,N,13.333333333333334,18322.933333333334,-54607.066666666666,22,12,28,1,19,0,33,4,2
19,196,39,143972,IN,500/1000,2000,1475.73,0,477670,FEMALE,High School,handlers-cleaners,camping,own-child,57000,-27300,Multi-vehicle Collision,Side Collision,Major Damage,Police,VA,Columbus,8101 3rd Ridge,8,3,Unknown,2,0,NO,60400,6040,6040,48320,Nissan,Pathfinder,2014,N,16.333333333333332,24103.59,-36296.41,8239,8,2,2,22,9,29,1,0
20,460,62,183430,IN,250/500,1000,1187.96,4000000,618845,MALE,JD,other-service,bungie-jumping,own-child,0,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,NY,Columbus,5380 Pine St,20,3,NO,1,0,Unknown,47160,0,5240,41920,Suburu,Impreza,2011,N,38.333333333333336,45538.46666666667,-1621.5333333333328,4573,6,25,1,1,11,19,1,1
21,217,41,431876,IL,500/1000,2000,875.15,0,442479,FEMALE,Associate,machine-op-inspct,skydiving,own-child,46700,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,SC,Arlington,8957 Weaver Drive,15,3,Unknown,1,2,Unknown,37840,0,4730,33110,Accura,RSX,1996,N,18.083333333333332,15825.629166666666,-22014.370833333334,3362,11,27,2,10,0,31,0,2
22,370,55,285496,IL,100/300,2000,972.18,0,443920,MALE,High School,prof-specialty,paintball,other-relative,72700,-68200,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,SC,Hillsdale,2526 Embaracadero Ave,20,3,NO,0,0,YES,71520,17880,5960,47680,Suburu,Forrestor,2000,Y,30.833333333333332,29975.55,-41544.45,7534,5,27,1,11,11,15,2,0
23,413,55,115399,IN,100/300,2000,1268.79,0,453148,MALE,MD,priv-house-serv,chess,own-child,0,-31000,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Northbend,5667 4th Drive,15,1,Unknown,2,2,Unknown,98160,8180,16360,73620,Dodge,RAM,2011,Y,34.416666666666664,43667.5225,-54492.4775,8746,2,8,1,19,4,30,3,2
24,237,40,736882,IN,100/300,1000,883.31,0,434733,MALE,College,craft-repair,kayaking,husband,0,-53500,Single Vehicle Collision,Rear Collision,Minor Damage,Other,VA,Riverwood,2502 Apache Hwy,6,1,NO,1,3,NO,77880,7080,14160,56640,Ford,Escape,2005,N,19.75,17445.3725,-60434.6275,6962,2,2,2,24,5,13,5,1
25,8,35,699044,OH,100/300,2000,1266.92,0,613982,MALE,Masters,sales,polo,own-child,0,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,OH,Arlington,3418 Texas Lane,16,3,NO,1,3,YES,71500,16500,11000,44000,Ford,Escape,2006,Y,0.6666666666666666,844.6133333333333,-70655.38666666667,400,12,5,1,9,5,13,0,0
26,257,43,863236,IN,100/300,2000,1322.1,0,436984,MALE,High School,prof-specialty,golf,own-child,0,-29200,Parked Car,Unknown,Minor Damage,Police,PA,Arlington,2533 Elm St,4,1,YES,1,3,YES,9020,1640,820,6560,Toyota,Camry,2005,N,21.416666666666668,28314.975,19294.975,8896,9,20,1,28,12,9,0,1
27,202,34,608513,IN,100/300,500,848.07,3000000,607730,MALE,JD,exec-managerial,chess,not-in-family,31000,-30200,Vehicle Theft,Unknown,Minor Damage,None,VA,Northbrook,3790 Andromedia Hwy,5,1,YES,2,1,Unknown,5720,1040,520,4160,Suburu,Forrestor,2003,Y,16.833333333333332,14275.845,8555.845,4556,7,18,1,7,11,15,4,1
28,224,40,914088,OH,100/300,2000,1291.7,0,609837,FEMALE,JD,sales,kayaking,not-in-family,0,-55600,Single Vehicle Collision,Side Collision,Minor Damage,Other,SC,Northbend,3220 Rock Drive,21,1,NO,1,0,YES,69840,7760,15520,46560,Dodge,Neon,2009,N,18.666666666666668,24111.733333333334,-45728.26666666666,9100,2,8,1,8,4,27,3,1
29,241,45,596785,IL,500/1000,2000,1104.5,0,432211,FEMALE,PhD,machine-op-inspct,basketball,unmarried,0,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,SC,Northbrook,2100 Francis Drive,5,1,NO,2,2,NO,91650,14100,14100,63450,Accura,TL,2011,N,20.083333333333332,22182.041666666668,-69467.95833333333,348,3,4,2,15,0,33,4,1
30,64,25,908616,IL,250/500,1000,954.16,0,473328,MALE,Masters,prof-specialty,video-games,husband,53200,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,SC,Columbus,4687 5th Drive,22,4,NO,0,0,Unknown,75600,12600,12600,50400,Toyota,Corolla,2005,N,5.333333333333333,5088.8533333333335,-70511.14666666667,5448,2,18,1,18,12,11,1,0
31,166,37,666333,IL,100/300,2000,1337.28,8000000,610393,MALE,JD,craft-repair,reading,husband,27500,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,WV,Riverwood,9038 2nd Lane,10,3,NO,2,2,Unknown,67140,7460,7460,52220,Ford,F150,2006,Y,13.833333333333334,18499.04,-48640.96,2445,6,19,2,28,5,14,5,0
32,155,35,336614,IL,500/1000,1000,1088.34,0,614780,FEMALE,Associate,adm-clerical,yachting,other-relative,81100,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,NY,Arlington,6092 5th Ave,16,3,YES,2,3,NO,29790,3310,3310,23170,BMW,3 Series,2008,N,12.916666666666666,14057.724999999999,-15732.275000000001,4225,8,1,2,24,2,0,0,2
33,114,30,584859,IL,100/300,1000,1558.29,0,472248,MALE,High School,farming-fishing,video-games,wife,51400,-64000,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,NY,Hillsdale,8353 Britain Ridge,1,3,NO,1,2,Unknown,77110,14020,14020,49070,Suburu,Impreza,2015,N,9.5,14803.755,-62306.245,8315,4,4,1,9,11,19,2,0
34,149,37,990493,IL,500/1000,500,1415.68,0,603381,MALE,PhD,prof-specialty,yachting,own-child,0,0,Single Vehicle Collision,Side Collision,Total Loss,Fire,WV,Hillsdale,3540 Maple St,17,1,YES,0,1,YES,64800,10800,5400,48600,Audi,A3,1999,N,12.416666666666666,17578.02666666667,-47221.97333333333,8796,1,13,2,12,1,4,2,2
35,147,33,129872,OH,100/300,1000,1334.15,6000000,479224,MALE,High School,craft-repair,reading,not-in-family,53300,-49200,Single Vehicle Collision,Front Collision,Major Damage,Other,WV,Springfield,3104 Sky Drive,15,1,YES,2,0,YES,53100,10620,5310,37170,Mercedes,C300,1995,Y,12.25,16343.337500000001,-36756.6625,1630,8,8,1,24,8,7,6,0
36,62,28,200152,IL,100/300,1000,988.45,0,430141,FEMALE,Masters,protective-serv,camping,unmarried,0,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,NY,Northbrook,4981 Weaver St,3,1,Unknown,1,1,YES,60200,6020,6020,48160,Suburu,Forrestor,2004,Y,5.166666666666667,5106.991666666667,-55093.00833333333,4324,3,9,1,9,11,15,4,2
37,289,49,933293,IL,500/1000,2000,1222.48,0,620757,FEMALE,JD,priv-house-serv,golf,unmarried,0,0,Parked Car,Unknown,Minor Damage,None,WV,Arlington,6676 Tree Lane,16,1,NO,1,1,YES,5330,1230,820,3280,Suburu,Legacy,2001,N,24.083333333333332,29441.393333333333,24111.393333333333,8019,2,3,1,18,11,21,0,1
38,431,54,485664,IN,500/1000,2000,1155.55,0,615901,FEMALE,MD,craft-repair,bungie-jumping,unmarried,65700,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Hillsdale,3930 Embaracadero St,4,3,Unknown,2,0,Unknown,62300,12460,6230,43610,Jeep,Wrangler,2007,N,35.916666666666664,41503.504166666666,-20796.495833333334,4440,11,25,1,21,7,36,2,0
39,199,37,982871,IN,250/500,500,1262.08,0,474615,MALE,JD,tech-support,video-games,wife,48500,0,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,NC,Columbus,3422 Flute St,4,1,Unknown,0,3,NO,60170,10940,10940,38290,Nissan,Pathfinder,2011,Y,16.583333333333332,20929.493333333332,-39240.50666666667,6374,7,27,1,8,9,29,1,0
40,79,26,206213,IL,100/300,500,1451.62,0,456446,MALE,Associate,tech-support,kayaking,not-in-family,0,-55700,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,WV,Columbus,4862 Lincoln Hwy,19,1,NO,2,2,Unknown,40000,8000,4000,28000,BMW,M5,2010,N,6.583333333333333,9556.498333333333,-30443.501666666667,7180,5,8,1,3,2,22,1,1
41,116,34,616337,IN,250/500,500,1737.66,0,470577,MALE,Associate,transport-moving,chess,unmarried,0,-24100,Single Vehicle Collision,Side Collision,Major Damage,Police,WV,Northbrook,5719 2nd Lane,1,1,Unknown,1,1,Unknown,97080,16180,16180,64720,BMW,X5,2001,Y,9.666666666666666,16797.38,-80282.62,854,8,30,1,1,2,37,4,0
42,37,23,448961,IL,500/1000,500,1475.93,0,441648,FEMALE,College,prof-specialty,hiking,husband,0,-67400,Multi-vehicle Collision,Side Collision,Minor Damage,Other,SC,Springfield,3221 Solo Ridge,17,3,YES,1,0,NO,51660,5740,5740,40180,Dodge,RAM,2010,N,3.0833333333333335,4550.784166666667,-47109.215833333335,3183,4,30,1,16,4,30,6,1
43,106,30,790442,OH,250/500,500,538.17,0,433782,FEMALE,PhD,transport-moving,reading,own-child,49700,-60200,Single Vehicle Collision,Rear Collision,Total Loss,Other,NC,Arlington,6660 MLK Drive,23,1,NO,2,2,NO,51120,5680,5680,39760,Mercedes,E400,2005,N,8.833333333333334,4753.835,-46366.165,4321,4,13,2,10,8,12,0,2
44,269,44,108844,IL,100/300,2000,1081.08,0,468104,MALE,JD,priv-house-serv,reading,unmarried,36400,-28700,Single Vehicle Collision,Front Collision,Minor Damage,Other,SC,Springfield,1699 Oak Drive,14,1,YES,0,2,Unknown,56400,11280,11280,33840,Toyota,Highlander,2014,N,22.416666666666668,24234.209999999995,-32165.790000000005,2628,12,5,2,14,12,18,6,1
45,265,40,430029,IL,250/500,1000,1454.43,0,459407,FEMALE,MD,protective-serv,yachting,husband,0,0,Multi-vehicle Collision,Rear Collision,Total Loss,Other,NY,Arlington,4234 Cherokee Lane,17,3,NO,2,3,Unknown,55120,6890,0,48230,Accura,MDX,2002,N,22.083333333333332,32118.6625,-23001.3375,3106,8,21,2,21,0,23,0,2
46,163,33,529112,IN,100/300,500,1240.47,0,472573,FEMALE,Associate,other-service,polo,husband,35300,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,NC,Northbend,7476 4th St,11,3,YES,1,1,Unknown,77110,0,14020,63090,Honda,Civic,2014,N,13.583333333333334,16849.7175,-60260.2825,9172,1,8,2,18,6,10,3,2
47,355,47,939631,OH,500/1000,2000,1273.7,4000000,433473,MALE,College,other-service,kayaking,husband,0,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Arlington,8907 Tree Ave,19,3,NO,2,1,NO,62800,6280,6280,50240,Audi,A3,2003,Y,29.583333333333332,37680.291666666664,-25119.708333333336,9064,3,18,1,10,1,4,0,0
48,175,34,866931,IN,500/1000,1000,1123.87,8000000,446326,FEMALE,PhD,protective-serv,dancing,other-relative,0,0,Vehicle Theft,Unknown,Trivial Damage,Police,NY,Arlington,6619 Flute Ave,5,1,Unknown,2,0,YES,7290,810,810,5670,Volkswagen,Passat,1995,N,14.583333333333334,16389.770833333332,9099.770833333332,2607,1,7,2,26,13,28,0,3
49,192,35,582011,IL,100/300,1000,1245.89,0,435481,FEMALE,Masters,exec-managerial,movies,wife,0,-40300,Single Vehicle Collision,Rear Collision,Total Loss,Other,WV,Springfield,6011 Britain St,19,1,NO,0,0,Unknown,76600,15320,7660,53620,Mercedes,C300,2000,N,16.0,19934.24,-56665.759999999995,6506,3,10,1,1,8,7,6,2
50,430,59,691189,OH,250/500,2000,1326.62,7000000,477310,MALE,MD,other-service,bungie-jumping,own-child,0,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,NY,Riverwood,5104 Francis Drive,19,3,Unknown,0,3,YES,81800,16360,8180,57260,Nissan,Pathfinder,1998,N,35.833333333333336,47537.21666666667,-34262.78333333333,4011,1,10,1,3,9,29,5,1
51,91,27,537546,IL,100/300,2000,1073.83,0,609930,FEMALE,JD,farming-fishing,polo,husband,0,0,Vehicle Theft,Unknown,Trivial Damage,None,NY,Arlington,2280 4th Ave,4,1,Unknown,1,2,Unknown,7260,1320,660,5280,BMW,M5,2008,N,7.583333333333333,8143.2108333333335,883.2108333333335,7455,8,20,1,17,2,22,0,3
52,217,39,394975,IN,100/300,1000,1530.52,0,603993,MALE,College,armed-forces,basketball,not-in-family,0,0,Vehicle Theft,Unknown,Minor Damage,None,WV,Northbend,2644 Elm Drive,8,1,Unknown,2,1,YES,4300,430,430,3440,Toyota,Corolla,2000,N,18.083333333333332,27676.903333333335,23376.903333333335,4648,6,2,2,22,12,11,3,1
53,223,40,729634,IN,100/300,500,1201.41,0,437818,FEMALE,JD,priv-house-serv,movies,husband,88400,-46500,Multi-vehicle Collision,Side Collision,Major Damage,Police,NC,Columbus,7466 MLK Ridge,7,3,YES,1,0,Unknown,70510,12820,12820,44870,Suburu,Forrestor,1999,N,18.583333333333332,22326.202500000003,-48183.7975,7579,4,28,1,27,11,15,1,0
54,195,39,282195,OH,250/500,1000,1393.57,0,478423,MALE,PhD,machine-op-inspct,movies,not-in-family,47600,-39600,Parked Car,Unknown,Minor Damage,Police,VA,Northbend,5821 2nd St,5,1,NO,0,1,YES,2640,480,480,1680,Ford,F150,2009,N,16.25,22645.5125,20005.5125,194,8,17,2,27,5,14,3,1
55,22,26,420810,OH,100/300,1000,1276.57,0,467784,MALE,PhD,craft-repair,skydiving,not-in-family,71500,0,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,NY,Arlington,6723 Best Drive,3,1,YES,1,2,NO,78900,15780,7890,55230,Chevrolet,Silverado,1995,N,1.8333333333333333,2340.378333333333,-76559.62166666667,2705,8,11,1,6,3,32,0,1
56,439,56,524836,IN,250/500,500,1082.49,0,606714,FEMALE,PhD,prof-specialty,chess,unmarried,36100,-55000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,SC,Columbus,4866 4th Hwy,12,3,Unknown,2,3,Unknown,56430,0,6270,50160,Honda,CRV,2014,N,36.583333333333336,39601.0925,-16828.9075,2291,11,20,2,28,6,8,1,0
57,94,32,307195,IN,500/1000,1000,1414.74,0,464691,FEMALE,Masters,adm-clerical,hiking,own-child,0,0,Parked Car,Unknown,Minor Damage,None,VA,Riverwood,5418 Britain Ave,19,1,NO,1,3,NO,2400,300,300,1800,Chevrolet,Silverado,2014,N,7.833333333333333,11082.13,8682.13,7067,10,18,2,22,3,32,5,1
58,11,39,623648,IL,250/500,2000,1470.06,0,431683,MALE,PhD,other-service,yachting,husband,56600,-45800,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,WV,Riverwood,4296 Pine Hwy,22,1,YES,0,1,NO,65790,7310,7310,51170,Saab,93,2007,N,0.9166666666666666,1347.5549999999998,-64442.445,7903,5,19,1,7,10,2,5,2
59,151,36,485372,OH,250/500,2000,870.63,0,431725,FEMALE,MD,adm-clerical,kayaking,own-child,94800,-58500,Multi-vehicle Collision,Side Collision,Minor Damage,Police,VA,Hillsdale,2299 1st St,12,3,NO,1,1,NO,62920,11440,5720,45760,Ford,Escape,2000,N,12.583333333333334,10955.4275,-51964.5725,3601,2,26,1,6,5,13,2,1
60,154,34,598554,IN,100/300,500,795.23,0,609216,MALE,PhD,machine-op-inspct,base-jumping,other-relative,36900,0,Multi-vehicle Collision,Rear Collision,Major Damage,Police,NY,Springfield,6618 Cherokee Drive,15,3,YES,2,1,Unknown,69480,15440,0,54040,Nissan,Maxima,2014,Y,12.833333333333334,10205.451666666666,-59274.54833333333,9096,2,14,1,10,9,26,6,0
61,245,44,303987,IL,500/1000,1000,1168.2,0,452787,MALE,JD,handlers-cleaners,basketball,husband,69100,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,OH,Springfield,7459 Flute St,23,3,NO,0,3,NO,44280,7380,3690,33210,Honda,Accord,1997,N,20.416666666666668,23850.750000000004,-20429.249999999996,7804,9,30,2,11,6,6,6,2
62,119,32,343161,IL,500/1000,1000,993.51,0,468767,MALE,High School,armed-forces,bungie-jumping,unmarried,0,-49500,Single Vehicle Collision,Side Collision,Minor Damage,Other,WV,Hillsdale,3567 4th Drive,12,1,NO,0,3,YES,56300,5630,11260,39410,BMW,M5,2011,N,9.916666666666666,9852.3075,-46447.6925,216,6,10,1,12,2,22,2,1
63,215,42,519312,OH,500/1000,500,1848.81,0,435489,MALE,JD,transport-moving,video-games,own-child,0,-49000,Multi-vehicle Collision,Front Collision,Major Damage,Fire,WV,Northbend,2457 Washington Ave,20,3,YES,2,2,YES,68520,11420,5710,51390,Suburu,Legacy,2003,Y,17.916666666666668,33124.5125,-35395.4875,2292,10,28,2,6,11,21,3,0
64,295,42,132902,OH,250/500,2000,1641.73,5000000,450149,MALE,PhD,sales,chess,not-in-family,62400,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,VA,Riverwood,1269 Flute Drive,16,3,NO,0,0,NO,59130,6570,6570,45990,Ford,Escape,2006,Y,24.583333333333332,40359.19583333333,-18770.80416666667,2828,4,24,1,20,5,13,5,2
65,254,39,332867,IN,100/300,500,1362.87,0,458364,FEMALE,MD,exec-managerial,chess,other-relative,35700,0,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,NY,Arlington,1218 Sky Hwy,6,3,YES,2,2,NO,82320,13720,6860,61740,Dodge,Neon,1995,Y,21.166666666666668,28847.414999999997,-53472.58500000001,7741,12,13,2,22,4,27,0,1
66,107,31,356590,IN,250/500,500,1239.22,7000000,476458,FEMALE,High School,tech-support,paintball,not-in-family,43400,-91200,Single Vehicle Collision,Side Collision,Minor Damage,Fire,SC,Springfield,9169 Pine Ridge,12,1,YES,0,1,NO,89700,13800,13800,62100,Audi,A5,2009,Y,8.916666666666666,11049.711666666666,-78650.28833333333,1262,8,17,1,30,1,5,6,1
67,478,64,346002,OH,250/500,500,835.02,0,602433,FEMALE,Associate,adm-clerical,reading,unmarried,59600,0,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,WV,Hillsdale,8538 Texas Lane,17,3,NO,1,1,NO,33930,0,3770,30160,BMW,X6,1998,N,39.833333333333336,33261.63,-668.3700000000026,8932,8,20,2,2,2,38,2,1
68,128,30,500533,OH,100/300,1000,1061.33,0,478575,MALE,MD,machine-op-inspct,movies,own-child,43300,-66200,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,WV,Northbrook,5783 Oak Ave,8,1,NO,0,3,NO,68530,12460,6230,49840,Audi,A5,1997,N,10.666666666666666,11320.853333333333,-57209.14666666667,7638,2,11,1,10,1,5,4,0
69,338,49,348209,IN,500/1000,1000,1279.08,0,449718,MALE,MD,other-service,kayaking,own-child,0,-51500,Parked Car,Unknown,Minor Damage,None,NC,Riverwood,7721 Washington Ridge,13,1,NO,0,1,Unknown,4300,860,860,2580,Ford,F150,2004,N,28.166666666666668,36027.42,31727.42,7675,2,22,2,27,5,14,5,1
70,271,42,486676,OH,100/300,500,1105.49,0,463181,FEMALE,Associate,prof-specialty,sleeping,own-child,56200,-50000,Multi-vehicle Collision,Side Collision,Major Damage,Other,SC,Hillsdale,8006 Maple Hwy,12,2,Unknown,2,3,Unknown,68310,12420,6210,49680,Audi,A3,2003,Y,22.583333333333332,24965.649166666666,-43344.35083333333,1285,8,15,2,20,1,4,2,0
