,months_as_customer,age,policy_number,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_zip,insured_sex,insured_education_level,insured_occupation,insured_hobbies,insured_relationship,capital-gains,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_state,incident_city,incident_location,incident_hour_of_the_day,number_of_vehicles_involved,property_damage,bodily_injuries,witnesses,police_report_available,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year,fraud_reported,days_since_policy_binding,fraud_satus,Contract Years,total_premiums_paid,net_value_of_customer,policy_bind_date_month,policy_bind_date_day,incident_date_month,incident_date_day,auto_make_encoded,auto_model_encoded,incident_city_encoded,incident_severity_encoded
11,447,61,214618,2,0,2000,1137.16,0,615561,0,2,3,16,2,0,-51000,0,0,0,1,4,6,553,21,3,2,1,2,2,114920,17680,17680,79560,1,4,2006,0,5741,1,37.25,42359.21,-72560.79000000001,5,29,2,15,1,4,6,0
12,60,23,842643,2,2,500,1215.36,3000000,432220,1,4,10,15,5,0,0,2,1,2,0,4,3,633,9,1,2,1,0,0,56520,4710,9420,42390,10,3,2000,0,6272,1,5.0,6076.799999999999,-50443.2,11,20,1,22,10,3,3,2
13,121,34,626808,2,0,1000,936.61,0,464652,0,4,1,3,5,52800,-32800,1,3,1,4,4,6,622,5,1,0,1,1,0,7280,1120,1120,5040,12,18,2010,0,804,1,10.083333333333334,9444.150833333333,2164.150833333333,10,26,1,8,12,18,6,1
14,180,38,644081,2,1,2000,1301.13,0,476685,0,1,6,2,1,41300,-55500,2,1,2,3,4,6,658,12,1,0,0,2,2,46200,4200,8400,33600,4,27,2003,1,5862,0,15.0,19516.95,-26683.05,12,28,1,15,4,27,6,2
15,473,58,892874,1,0,2000,1131.4,0,458733,0,4,13,12,2,55700,0,0,2,0,2,6,2,953,12,4,2,0,0,0,63120,10520,10520,42080,0,23,1999,1,8137,0,39.416666666666664,44596.01666666667,-18523.98333333333,10,19,1,29,0,23,2,0
16,70,26,558938,2,2,1000,1199.44,5000000,619884,1,1,6,10,3,63600,0,0,1,0,2,1,5,459,0,3,1,1,2,2,52110,5790,5790,40530,9,26,2012,0,3546,1,5.833333333333333,6996.733333333334,-45113.26666666666,6,8,2,22,9,26,5,0
17,140,31,275265,1,2,500,708.64,6000000,470610,1,2,6,15,4,53500,0,2,2,2,3,6,3,393,9,1,0,0,2,2,77880,14160,7080,56640,11,21,2015,0,3704,1,11.666666666666666,8267.466666666667,-69612.53333333333,11,15,1,6,11,21,3,2
18,160,37,921202,2,2,500,1374.22,0,472135,0,4,2,19,2,45500,-37800,2,2,2,2,1,4,319,19,1,2,1,0,0,72930,6630,13260,53040,0,33,2015,0,22,1,13.333333333333334,18322.933333333334,-54607.066666666666,12,28,1,19,0,33,4,2
19,196,39,143972,1,2,2000,1475.73,0,477670,0,2,5,4,3,57000,-27300,0,2,0,3,5,1,803,8,3,1,2,0,0,60400,6040,6040,48320,9,29,2014,0,8239,1,16.333333333333332,24103.59,-36296.41,8,2,2,22,9,29,1,0
20,460,62,183430,1,1,1000,1187.96,4000000,618845,1,3,7,3,3,0,0,0,1,1,3,1,1,486,20,3,0,1,0,1,47160,0,5240,41920,11,19,2011,0,4573,1,38.333333333333336,45538.46666666667,-1621.5333333333328,6,25,1,1,11,19,1,1
21,217,41,431876,0,2,2000,875.15,0,442479,0,0,6,16,3,46700,0,0,2,2,3,4,0,889,15,3,1,1,2,1,37840,0,4730,33110,0,31,1996,0,3362,1,18.083333333333332,15825.629166666666,-22014.370833333334,11,27,2,10,0,31,0,2
22,370,55,285496,0,0,2000,972.18,0,443920,1,2,9,13,2,72700,-68200,0,1,0,0,4,2,164,20,3,0,0,0,2,71520,17880,5960,47680,11,15,2000,1,7534,0,30.833333333333332,29975.55,-41544.45,5,27,1,11,11,15,2,0
23,413,55,115399,1,0,2000,1268.79,0,453148,1,4,8,5,3,0,-31000,2,0,2,0,6,3,518,15,1,1,2,2,1,98160,8180,16360,73620,4,30,2011,1,8746,0,34.416666666666664,43667.5225,-54492.4775,2,8,1,19,4,30,3,2
24,237,40,736882,1,0,1000,883.31,0,434733,1,1,2,11,0,0,-53500,2,1,1,2,5,5,162,6,1,0,1,3,0,77880,7080,14160,56640,5,13,2005,0,6962,1,19.75,17445.3725,-60434.6275,2,2,2,24,5,13,5,1
25,8,35,699044,2,0,2000,1266.92,0,613982,1,5,11,14,3,0,0,0,1,0,2,2,0,262,16,3,0,1,3,2,71500,16500,11000,44000,5,13,2006,1,400,0,0.6666666666666666,844.6133333333333,-70655.38666666667,12,5,1,9,5,13,0,0
26,257,43,863236,1,0,2000,1322.1,0,436984,1,2,9,9,3,0,-29200,1,3,1,3,3,0,165,4,1,2,1,3,2,9020,1640,820,6560,12,9,2005,0,8896,1,21.416666666666668,28314.975,19294.975,9,20,1,28,12,9,0,1
27,202,34,608513,1,0,500,848.07,3000000,607730,1,3,3,5,1,31000,-30200,3,3,1,4,5,4,307,5,1,2,2,1,1,5720,1040,520,4160,11,15,2003,1,4556,0,16.833333333333332,14275.845,8555.845,7,18,1,7,11,15,4,1
28,224,40,914088,2,0,2000,1291.7,0,609837,0,3,11,11,1,0,-55600,2,2,1,2,4,3,244,21,1,0,1,0,2,69840,7760,15520,46560,4,27,2009,0,9100,1,18.666666666666668,24111.733333333334,-45728.26666666666,2,8,1,8,4,27,3,1
29,241,45,596785,0,2,2000,1104.5,0,432211,0,6,6,1,4,0,0,2,1,1,3,4,4,123,5,1,0,2,2,0,91650,14100,14100,63450,0,33,2011,0,348,1,20.083333333333332,22182.041666666668,-69467.95833333333,3,4,2,15,0,33,4,1
30,64,25,908616,0,1,1000,954.16,0,473328,1,5,9,18,0,53200,0,0,2,0,0,4,1,412,22,4,0,0,0,1,75600,12600,12600,50400,12,11,2005,0,5448,1,5.333333333333333,5088.8533333333335,-70511.14666666667,2,18,1,18,12,11,1,0
31,166,37,666333,0,0,2000,1337.28,8000000,610393,1,3,2,15,0,27500,0,0,2,0,3,6,5,900,10,3,0,2,2,1,67140,7460,7460,52220,5,14,2006,1,2445,0,13.833333333333334,18499.04,-48640.96,6,19,2,28,5,14,5,0
32,155,35,336614,0,2,1000,1088.34,0,614780,0,0,0,19,2,81100,0,0,0,2,3,1,0,565,16,3,2,2,3,0,29790,3310,3310,23170,2,0,2008,0,4225,1,12.916666666666666,14057.724999999999,-15732.275000000001,8,1,2,24,2,0,0,2
33,114,30,584859,0,0,1000,1558.29,0,472248,1,2,4,18,5,51400,-64000,0,0,0,0,1,2,823,1,3,0,1,2,1,77110,14020,14020,49070,11,19,2015,0,8315,1,9.5,14803.755,-62306.245,4,4,1,9,11,19,2,0
34,149,37,990493,0,2,500,1415.68,0,603381,1,6,9,19,3,0,0,2,2,2,1,6,2,277,17,1,2,0,1,2,64800,10800,5400,48600,1,4,1999,0,8796,1,12.416666666666666,17578.02666666667,-47221.97333333333,1,13,2,12,1,4,2,2
35,147,33,129872,2,0,1000,1334.15,6000000,479224,1,2,2,15,1,53300,-49200,2,0,0,2,6,6,233,15,1,2,2,0,2,53100,10620,5310,37170,8,7,1995,1,1630,0,12.25,16343.337500000001,-36756.6625,8,8,1,24,8,7,6,0
36,62,28,200152,0,0,1000,988.45,0,430141,0,5,10,4,4,0,0,2,1,2,3,1,4,445,3,1,1,1,1,2,60200,6020,6020,48160,11,15,2004,1,4324,0,5.166666666666667,5106.991666666667,-55093.00833333333,3,9,1,9,11,15,4,2
37,289,49,933293,0,2,2000,1222.48,0,620757,0,3,8,9,4,0,0,1,3,1,4,6,0,637,16,1,0,1,1,2,5330,1230,820,3280,11,21,2001,0,8019,1,24.083333333333332,29441.393333333333,24111.393333333333,2,3,1,18,11,21,0,1
38,431,54,485664,1,2,2000,1155.55,0,615901,0,4,2,3,4,65700,0,0,1,0,3,1,2,332,4,3,1,2,0,1,62300,12460,6230,43610,7,36,2007,0,4440,1,35.916666666666664,41503.504166666666,-20796.495833333334,11,25,1,21,7,36,2,0
39,199,37,982871,1,1,500,1262.08,0,474615,1,3,12,18,5,48500,0,2,0,0,0,0,1,264,4,1,1,0,3,0,60170,10940,10940,38290,9,29,2011,1,6374,0,16.583333333333332,20929.493333333332,-39240.50666666667,7,27,1,8,9,29,1,0
40,79,26,206213,0,0,500,1451.62,0,456446,1,0,12,11,1,0,-55700,2,1,1,0,6,1,427,19,1,0,2,2,1,40000,8000,4000,28000,2,22,2010,0,7180,1,6.583333333333333,9556.498333333333,-30443.501666666667,5,8,1,3,2,22,1,1
41,116,34,616337,1,1,500,1737.66,0,470577,1,0,13,5,4,0,-24100,2,2,0,3,6,4,520,1,1,1,1,1,1,97080,16180,16180,64720,2,37,2001,1,854,0,9.666666666666666,16797.38,-80282.62,8,30,1,1,2,37,4,0
42,37,23,448961,0,2,500,1475.93,0,441648,0,1,9,10,0,0,-67400,0,2,1,2,4,6,245,17,3,2,1,0,0,51660,5740,5740,40180,4,30,2010,0,3183,1,3.0833333333333335,4550.784166666667,-47109.215833333335,4,30,1,16,4,30,6,1
43,106,30,790442,2,1,500,538.17,0,433782,0,6,13,15,3,49700,-60200,2,1,2,2,0,0,635,23,1,0,2,2,0,51120,5680,5680,39760,8,12,2005,0,4321,1,8.833333333333334,4753.835,-46366.165,4,13,2,10,8,12,0,2
44,269,44,108844,0,0,2000,1081.08,0,468104,1,3,8,15,4,36400,-28700,2,0,1,2,4,6,78,14,1,2,0,2,1,56400,11280,11280,33840,12,18,2014,0,2628,1,22.416666666666668,24234.209999999995,-32165.790000000005,12,5,2,14,12,18,6,1
45,265,40,430029,0,1,1000,1454.43,0,459407,0,4,10,19,0,0,0,0,1,2,2,1,0,360,17,3,0,2,3,1,55120,6890,0,48230,0,23,2002,0,3106,1,22.083333333333332,32118.6625,-23001.3375,8,21,2,21,0,23,0,2
46,163,33,529112,1,0,500,1240.47,0,472573,0,0,7,14,0,35300,0,0,1,2,1,0,3,720,11,3,2,1,1,1,77110,0,14020,63090,6,10,2014,0,9172,1,13.583333333333334,16849.7175,-60260.2825,1,8,2,18,6,10,3,2
47,355,47,939631,2,2,2000,1273.7,4000000,433473,1,1,7,11,0,0,0,0,0,0,1,6,0,879,19,3,0,2,1,0,62800,6280,6280,50240,1,4,2003,1,9064,0,29.583333333333332,37680.291666666664,-25119.708333333336,3,18,1,10,1,4,0,0
48,175,34,866931,1,2,1000,1123.87,8000000,446326,0,6,10,7,2,0,0,3,3,3,3,1,0,630,5,1,1,2,0,2,7290,810,810,5670,13,28,1995,0,2607,1,14.583333333333334,16389.770833333332,9099.770833333332,1,7,2,26,13,28,0,3
49,192,35,582011,0,0,1000,1245.89,0,435481,0,5,3,12,5,0,-40300,2,1,2,2,6,6,557,19,1,0,0,0,1,76600,15320,7660,53620,8,7,2000,0,6506,1,16.0,19934.24,-56665.759999999995,3,10,1,1,8,7,6,2
50,430,59,691189,2,1,2000,1326.62,7000000,477310,1,4,7,3,3,0,0,0,0,1,1,1,5,461,19,3,1,0,3,2,81800,16360,8180,57260,9,29,1998,0,4011,1,35.833333333333336,47537.21666666667,-34262.78333333333,1,10,1,3,9,29,5,1
51,91,27,537546,0,0,2000,1073.83,0,609930,0,3,4,14,0,0,0,3,3,3,4,1,0,139,4,1,1,1,2,1,7260,1320,660,5280,2,22,2008,0,7455,1,7.583333333333333,8143.2108333333335,883.2108333333335,8,20,1,17,2,22,0,3
52,217,39,394975,1,0,1000,1530.52,0,603993,1,1,1,1,1,0,0,3,3,1,4,6,3,172,8,1,1,2,1,2,4300,430,430,3440,12,11,2000,0,4648,1,18.083333333333332,27676.903333333335,23376.903333333335,6,2,2,22,12,11,3,1
53,223,40,729634,1,0,500,1201.41,0,437818,0,3,8,12,0,88400,-46500,0,2,0,3,0,1,719,7,3,2,1,0,1,70510,12820,12820,44870,11,15,1999,0,7579,1,18.583333333333332,22326.202500000003,-48183.7975,4,28,1,27,11,15,1,0
54,195,39,282195,2,1,1000,1393.57,0,478423,1,6,6,12,1,47600,-39600,1,3,1,3,5,3,536,5,1,0,0,1,2,2640,480,480,1680,5,14,2009,0,194,1,16.25,22645.5125,20005.5125,8,17,2,27,5,14,3,1
55,22,26,420810,2,0,1000,1276.57,0,467784,1,6,2,16,1,71500,0,2,1,1,1,1,0,646,3,1,2,1,2,0,78900,15780,7890,55230,3,32,1995,0,2705,1,1.8333333333333333,2340.378333333333,-76559.62166666667,8,11,1,6,3,32,0,1
56,439,56,524836,1,1,500,1082.49,0,606714,0,6,9,5,4,36100,-55000,0,0,0,1,4,1,428,12,3,1,2,3,1,56430,0,6270,50160,6,8,2014,0,2291,1,36.583333333333336,39601.0925,-16828.9075,11,20,2,28,6,8,1,0
57,94,32,307195,1,2,1000,1414.74,0,464691,0,5,0,10,3,0,0,1,3,1,4,5,5,488,19,1,0,1,3,0,2400,300,300,1800,3,32,2014,0,7067,1,7.833333333333333,11082.13,8682.13,10,18,2,22,3,32,5,1
58,11,39,623648,0,1,2000,1470.06,0,431683,1,6,7,19,0,56600,-45800,2,0,2,0,6,5,370,22,1,2,0,1,0,65790,7310,7310,51170,10,2,2007,0,7903,1,0.9166666666666666,1347.5549999999998,-64442.445,5,19,1,7,10,2,5,2
59,151,36,485372,2,1,2000,870.63,0,431725,0,4,0,11,3,94800,-58500,0,2,1,3,5,2,143,12,3,0,1,1,0,62920,11440,5720,45760,5,13,2000,0,3601,1,12.583333333333334,10955.4275,-51964.5725,2,26,1,6,5,13,2,1
60,154,34,598554,1,0,500,795.23,0,609216,1,6,6,0,2,36900,0,0,1,0,3,1,6,629,15,3,2,2,1,1,69480,15440,0,54040,9,26,2014,1,9096,0,12.833333333333334,10205.451666666666,-59274.54833333333,2,14,1,10,9,26,6,0
61,245,44,303987,0,2,1000,1168.2,0,452787,1,3,5,1,0,69100,0,0,2,2,2,2,6,717,23,3,0,0,3,0,44280,7380,3690,33210,6,6,1997,0,7804,1,20.416666666666668,23850.750000000004,-20429.249999999996,9,30,2,11,6,6,6,2
62,119,32,343161,0,2,1000,993.51,0,468767,1,2,1,3,4,0,-49500,2,2,1,2,6,2,281,12,1,0,0,3,2,56300,5630,11260,39410,2,22,2011,0,216,1,9.916666666666666,9852.3075,-46447.6925,6,10,1,12,2,22,2,1
63,215,42,519312,2,2,500,1848.81,0,435489,1,3,13,18,3,0,-49000,0,0,0,1,6,3,157,20,3,2,2,2,2,68520,11420,5710,51390,11,21,2003,1,2292,0,17.916666666666668,33124.5125,-35395.4875,10,28,2,6,11,21,3,0
64,295,42,132902,2,1,2000,1641.73,5000000,450149,1,6,11,5,1,62400,0,0,1,2,1,5,5,22,16,3,0,0,0,0,59130,6570,6570,45990,5,13,2006,1,2828,0,24.583333333333332,40359.19583333333,-18770.80416666667,4,24,1,20,5,13,5,2
65,254,39,332867,1,0,500,1362.87,0,458364,0,4,3,5,2,35700,0,0,0,1,0,1,0,16,6,3,2,2,2,0,82320,13720,6860,61740,4,27,1995,1,7741,0,21.166666666666668,28847.414999999997,-53472.58500000001,12,13,2,22,4,27,0,1
66,107,31,356590,1,1,500,1239.22,7000000,476458,0,2,12,13,1,43400,-91200,2,2,1,1,4,6,918,12,1,2,0,1,0,89700,13800,13800,62100,1,5,2009,1,1262,0,8.916666666666666,11049.711666666666,-78650.28833333333,8,17,1,30,1,5,6,1
67,478,64,346002,2,1,500,835.02,0,602433,0,0,0,15,4,59600,0,0,2,1,1,6,2,838,17,3,0,1,1,0,33930,0,3770,30160,2,38,1998,0,8932,1,39.833333333333336,33261.63,-668.3700000000026,8,20,2,2,2,38,2,1
68,128,30,500533,2,0,1000,1061.33,0,478575,1,4,6,12,3,43300,-66200,2,0,0,0,6,4,530,8,1,0,0,3,0,68530,12460,6230,49840,1,5,1997,0,7638,1,10.666666666666666,11320.853333333333,-57209.14666666667,2,11,1,10,1,5,4,0
69,338,49,348209,1,2,1000,1279.08,0,449718,1,4,7,11,3,0,-51500,1,3,1,4,0,5,758,13,1,0,0,1,1,4300,860,860,2580,5,14,2004,0,7675,1,28.166666666666668,36027.42,31727.42,2,22,2,27,5,14,5,1
70,271,42,486676,2,0,500,1105.49,0,463181,0,0,9,17,3,56200,-50000,0,2,0,2,4,2,791,12,2,1,2,3,1,68310,12420,6210,49680,1,4,2003,1,1285,0,22.583333333333332,24965.649166666666,-43344.35083333333,8,15,2,20,1,4,2,0
71,222,41,260845,2,0,2000,1055.53,0,441992,0,4,1,6,1,37800,-50300,2,0,2,2,6,4,653,7,1,0,0,2,0,61290,6810,6810,47670,6,10,1995,1,5933,0,18.5,19527.304999999997,-41762.69500000001,11,11,2,8,6,10,4,2
72,199,41,657045,2,1,1000,895.83,0,452597,0,0,11,13,0,0,0,2,1,1,0,0,0,148,10,1,0,1,2,0,30100,3010,0,27090,3,25,1999,0,7009,1,16.583333333333332,14855.8475,-15244.1525,12,4,2,11,3,25,0,1
73,215,37,761189,1,0,500,1632.93,0,614417,0,1,13,9,1,0,-42900,0,1,1,1,4,5,784,7,3,0,2,0,2,57120,9520,4760,42840,8,7,2002,0,4440,1,17.916666666666668,29256.662500000002,-27863.337499999998,12,28,2,23,8,7,5,1
74,192,40,175177,0,0,1000,1405.99,0,472895,0,0,11,19,5,0,0,0,2,1,0,5,6,419,18,3,2,1,0,2,42930,9540,4770,28620,2,38,2005,0,3972,1,16.0,22495.84,-20434.16,4,15,3,1,2,38,6,1
75,120,35,116700,2,0,1000,1425.54,0,475847,0,2,13,3,2,78300,0,0,0,2,0,4,5,454,22,3,0,2,0,0,51210,11380,5690,34140,5,16,2010,0,5095,1,10.0,14255.4,-36954.6,2,2,1,15,5,16,5,2
76,270,45,166264,2,2,1000,1038.09,0,476978,0,1,5,9,0,0,-19700,0,0,1,1,1,6,120,18,3,0,1,1,2,89400,14900,7450,67050,11,21,1998,0,1828,1,22.5,23357.024999999998,-66042.975,1,12,1,14,11,21,6,1
77,319,47,527945,1,1,500,1307.11,0,600648,1,1,13,7,1,0,0,0,0,2,3,6,4,191,22,3,0,0,2,1,59730,10860,10860,38010,1,4,2005,0,8344,1,26.583333333333332,34747.340833333335,-24982.659166666665,4,14,2,17,1,4,4,2
78,194,39,627540,2,2,1000,1489.24,6000000,608335,0,3,7,11,5,0,-45000,3,3,1,4,4,6,780,15,1,2,2,2,2,8060,1240,1240,5580,10,3,2004,0,1709,1,16.166666666666668,24076.04666666667,16016.046666666669,5,21,1,24,10,3,6,1
79,227,38,279422,2,2,500,976.67,0,471600,0,6,5,14,4,0,0,2,1,0,1,4,4,617,16,1,1,1,2,1,72200,14440,7220,50540,2,22,2013,1,451,0,18.916666666666668,18475.340833333332,-53724.659166666665,10,27,1,21,2,22,4,0
80,137,31,484200,2,1,2000,1340.43,0,441175,1,2,3,13,0,52700,-40600,0,2,1,0,0,0,225,6,3,0,1,2,0,50800,10160,10160,30480,0,23,2005,0,7435,1,11.416666666666666,15303.2425,-35496.7575,10,12,2,19,0,23,0,1
81,244,40,645258,2,2,2000,1267.81,5000000,603123,0,5,3,18,5,0,0,3,3,3,4,0,4,681,10,1,1,2,1,1,6600,660,1320,4620,0,33,2005,0,6392,1,20.333333333333332,25778.80333333333,19178.80333333333,7,4,1,3,0,33,4,3
82,78,29,694662,0,1,1000,1234.2,6000000,457767,1,5,7,3,2,0,0,3,3,1,3,1,4,462,3,1,2,2,2,0,7500,750,1500,5250,9,26,2002,0,1444,1,6.5,8022.300000000001,522.3000000000011,2,15,1,29,9,26,4,1
83,200,35,960680,1,1,2000,1318.06,0,618498,1,2,3,18,5,57300,-80600,3,3,3,4,5,2,149,13,1,0,0,3,2,6490,1180,1180,4130,13,20,2002,0,7456,1,16.666666666666668,21967.666666666664,15477.666666666664,8,21,1,19,13,20,2,3
84,284,48,498140,1,2,2000,769.95,0,605486,1,5,9,12,1,0,-44200,0,2,0,0,1,2,0,16,2,1,2,3,0,60940,5540,11080,44320,1,4,2013,1,6458,0,23.666666666666668,18222.15,-42717.85,5,15,1,19,1,4,2,0
85,275,41,498875,2,0,2000,1514.72,0,617970,1,2,13,2,3,35700,0,0,0,0,1,1,4,721,13,3,2,0,1,1,58300,5830,11660,40810,11,21,2007,0,6673,1,22.916666666666668,34712.333333333336,-23587.666666666664,10,26,2,2,11,21,4,0
86,153,34,798177,0,2,1000,873.64,4000000,432934,0,0,8,19,0,800,0,0,0,1,2,4,1,948,9,3,0,2,1,1,68400,11400,11400,45600,5,14,2007,0,3254,1,12.75,11138.91,-57261.09,3,4,1,30,5,14,1,1
87,134,32,614763,0,2,500,1612.43,0,456762,0,4,7,19,3,36400,0,2,2,2,1,5,6,122,2,1,1,2,1,2,64240,11680,11680,40880,2,0,2015,0,8772,1,11.166666666666666,18005.468333333334,-46234.53166666666,1,2,1,8,2,0,6,2
88,31,36,679370,0,2,2000,1318.24,9000000,601748,0,1,9,11,1,0,-78600,1,3,3,4,6,0,503,9,1,0,0,1,2,4700,940,470,3290,4,27,2002,0,5647,1,2.5833333333333335,3405.4533333333334,-1294.5466666666666,8,15,1,30,4,27,0,3
89,41,25,958857,1,0,1000,1226.83,0,607763,0,1,3,8,1,0,-56100,0,2,0,2,4,1,698,12,3,2,2,0,1,45120,0,5640,39480,0,23,2011,1,8393,0,3.4166666666666665,4191.669166666667,-40928.33083333333,1,15,1,7,0,23,1,0
90,127,29,686816,2,1,2000,1326.44,5000000,436973,0,2,11,2,3,0,0,0,0,2,1,4,0,827,12,2,2,1,1,1,66950,10300,10300,46350,10,2,1995,0,5558,1,10.583333333333334,14038.156666666668,-52911.84333333333,12,7,2,24,10,2,0,2
91,61,23,127754,0,1,2000,1136.83,4000000,471300,0,0,12,8,3,0,-62400,2,2,0,3,1,1,31,14,1,0,0,3,1,98340,8940,17880,71520,6,6,2004,1,7911,0,5.083333333333333,5778.885833333333,-92561.11416666667,6,6,2,2,6,6,1,0
92,207,42,918629,0,1,2000,1322.78,0,453277,1,6,4,19,3,55200,0,1,3,3,4,6,6,474,9,1,0,0,1,0,5900,590,590,4720,2,37,2007,0,5261,1,17.25,22817.955,16917.955,10,3,2,28,2,37,6,3
93,219,43,731450,1,0,1000,1483.25,0,465100,0,4,3,8,1,90700,-20800,0,0,0,0,0,5,11,3,3,0,1,1,1,70680,5890,11780,53010,5,16,2009,0,1503,1,18.25,27069.3125,-43610.6875,12,29,2,9,5,16,5,0
94,271,42,307447,0,0,500,1515.3,0,603248,0,2,6,10,1,0,0,0,1,2,0,4,3,973,21,3,0,1,0,0,93720,17040,8520,68160,8,24,2005,0,9074,1,22.583333333333332,34220.524999999994,-59499.475000000006,3,17,1,19,8,24,3,2
95,80,25,992145,0,0,2000,1075.18,5000000,601112,0,6,1,8,0,67700,-58400,3,3,1,4,2,4,252,5,1,0,2,0,2,6930,1260,630,5040,12,18,2001,0,1087,1,6.666666666666667,7167.866666666668,237.8666666666677,3,1,2,21,12,18,4,1
96,325,47,900628,1,2,1000,1690.27,0,438830,0,0,10,10,1,61500,0,2,2,0,1,5,6,619,11,1,2,0,3,0,72930,6630,6630,59670,4,30,2006,1,3265,0,27.083333333333332,45778.14583333333,-27151.85416666667,2,5,1,14,4,30,6,0
97,29,25,235220,0,1,2000,1352.83,0,464959,1,5,4,16,3,0,-71700,0,1,1,2,4,2,75,4,4,2,1,2,2,64890,7210,7210,50470,9,29,2013,1,82,0,2.4166666666666665,3269.3391666666666,-61620.660833333335,11,1,1,22,9,29,2,1
98,295,48,740019,2,1,1000,1148.73,0,439787,0,1,6,11,5,0,0,1,3,3,4,6,1,341,6,1,1,1,2,2,5400,900,900,3600,10,3,1999,0,2076,1,24.583333333333332,28239.612500000003,22839.612500000003,6,17,2,22,10,3,1,3
99,239,42,246882,0,0,1000,969.5,0,464839,1,1,3,15,1,0,0,3,3,3,4,0,4,156,10,1,0,0,0,1,5600,700,700,4200,1,4,2007,0,5607,1,19.916666666666668,19309.208333333336,13709.208333333336,9,20,1,26,1,4,4,3
100,269,41,797613,1,0,500,1463.82,0,448984,0,1,10,19,1,0,-72300,2,1,1,3,4,3,757,23,1,2,0,0,1,79300,15860,15860,47580,10,1,2007,0,8863,1,22.416666666666668,32813.965,-46486.035,10,19,1,24,10,1,3,1
